id_reporte,fecha_registro,hora_registro,tipo_reporte,prioridad,canal,unidad_gaula_receptora,estado_caso,fase_operativa,nombre_reportante,identificacion_reportante,telefono_reportante,ubicacion_suceso,departamento,municipio,barrio_vereda,latitud,longitud,descripcion_hechos,numero_telefonico_asociado,alias_sospechoso,medio_cuenta_pago,monto_exigido_perdida_estimada,evidencias,observaciones_operador,modalidad,posible_grupo,riesgo_victima,tiempo_transcurrido_horas,patron_detectado,score_riesgo,tendencia_inteligencia,nodo_relacionado,dato_sintetico;;;
"NEXO-147-00011,2025-08-27,14:15,Extorsión,Media,Línea 147,GAULA Valle,En análisis,Recepción,Santiago Moreno Ramírez,DEMO-CC-98146273,3043177433,""Tuluá, Sur"",Valle del Cauca,Tuluá,Sur,4.06931,-76.225014,""Reporte sintético de extorsión bajo modalidad cobro intimidatorio en Tuluá. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3447272666,Alias-857,Bancolombia cuenta ahorro / CTA-DEMO-019,9611271,Captura WhatsApp"; Mensaje SMS; Correo amenazante,Dato ficticio para entrenamiento. Validar patrón: llamadas_recurrentes. Operador: analista.demo2.,Cobro intimidatorio,Grupo oportunista ficticio,Bajo,179,llamadas_recurrentes,61,Reincidencia por alias,Alias-857|CTA-DEMO-019|3447272666,SI;
"NEXO-147-00012,2026-01-31,23:30,Secuestro,Baja,Línea 147,GAULA Atlántico,Asignado a unidad,Verificación inicial,Mariana Salazar Torres,DEMO-CC-53243963,3171727070,""Bogotá, Occidente"",Bogotá D.C.,Bogotá,Occidente,4.671129,-74.065868,""Reporte sintético de secuestro bajo modalidad suplantación autoridad en Bogotá. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3245906230,Delta,Nequi / CTA-DEMO-006,211402,Comprobante de pago"; Número telefónico; Audio de llamada,Dato ficticio para entrenamiento. Validar patrón: pico_mensajeria_nocturna. Operador: analista.demo2.,Suplantación autoridad,Sin determinar,Medio,115,pico_mensajeria_nocturna,51,Concentración geográfica,Delta|CTA-DEMO-006|3245906230,SI;
"NEXO-147-00013,2025-09-19,16:14,Secuestro,Media,WhatsApp Institucional,GAULA Atlántico,Asignado a unidad,Coordinación operativa,Valentina Rodríguez Rojas,DEMO-CC-45592261,3027347875,""Acacías, Barrio El Progreso"",Meta,Acacías,Barrio El Progreso,3.983283,-73.72273,""Reporte sintético de secuestro bajo modalidad falso servicio en Acacías. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3918567357,Alias-897,Daviplata / CTA-DEMO-681,2302662,Comprobante de pago,Dato ficticio para entrenamiento. Validar patrón: amenaza_familiar. Operador: analista.demo1.,Falso servicio,Sin determinar,Bajo,85,amenaza_familiar,54,Concentración geográfica,Alias-897|CTA-DEMO-681|3918567357,SI";;;
"NEXO-147-00014,2026-05-20,06:44,Extorsión,Crítica,Línea 147,GAULA Bolívar,Recibido,Análisis de inteligencia,Miguel Gómez Salazar,DEMO-CC-95929948,3595130055,""Rionegro, Barrio El Progreso"",Antioquia,Rionegro,Barrio El Progreso,6.128682,-75.392047,""Reporte sintético de extorsión bajo modalidad amenaza por mensajería en Rionegro. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3238668510,Alias-984,Cuenta corresponsal / CTA-DEMO-246,0,Correo amenazante"; Captura WhatsApp; Comprobante de pago,Dato ficticio para entrenamiento. Validar patrón: amenaza_familiar. Operador: analista.demo1.,Amenaza por mensajería,Grupo oportunista ficticio,Medio,108,amenaza_familiar,94,Sin tendencia clara,Alias-984|CTA-DEMO-246|3238668510,SI;
"NEXO-147-00015,2026-03-05,01:29,Extorsión,Alta,Línea 147,GAULA Antioquia,En verificación,Verificación inicial,Paula Acosta Moreno,DEMO-CC-87353031,3448418326,""Bogotá, Plaza Principal"",Bogotá D.C.,Bogotá,Plaza Principal,4.74131,-74.079772,""Reporte sintético de extorsión bajo modalidad amenaza por mensajería en Bogotá. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3752990796,Alias-343,Cuenta corresponsal / CTA-DEMO-885,0,Enlace sospechoso"; Captura WhatsApp; Correo amenazante,Dato ficticio para entrenamiento. Validar patrón: alias_reutilizado. Operador: operador.demo2.,Amenaza por mensajería,Red digital ficticia Beta,Alto,37,alias_reutilizado,88,Reincidencia por alias,Alias-343|CTA-DEMO-885|3752990796,SI;
"NEXO-147-00016,2026-06-01,15:38,Secuestro,Media,Correo Institucional,GAULA Cundinamarca,En análisis,Coordinación operativa,Mariana Cárdenas Acosta,DEMO-CC-93417029,3841741844,""Cali, Zona Industrial"",Valle del Cauca,Cali,Zona Industrial,3.487244,-76.523458,""Reporte sintético de secuestro bajo modalidad suplantación familiar en Cali. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3247951124,Delta,Nequi / CTA-DEMO-510,0,Enlace sospechoso"; Audio de llamada; Comprobante de pago,Dato ficticio para entrenamiento. Validar patrón: amenaza_familiar. Operador: operador.demo1.,Suplantación familiar,Célula financiera ficticia,Alto,213,amenaza_familiar,72,Uso de cuenta repetida,Delta|CTA-DEMO-510|3247951124,SI;
"NEXO-147-00017,2026-03-26,21:09,Fraude con intimidación,Alta,Línea 147,GAULA Meta,En verificación,Seguimiento,Daniel López Moreno,DEMO-CC-26879979,3978217899,""Bogotá, Vereda La Esperanza"",Bogotá D.C.,Bogotá,Vereda La Esperanza,4.729007,-74.039651,""Reporte sintético de fraude con intimidación bajo modalidad suplantación familiar en Bogotá. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3732514689,El Primo,Cripto billetera demo / CTA-DEMO-764,15289518,Audio de llamada,Dato ficticio para entrenamiento. Validar patrón: pico_mensajeria_nocturna. Operador: operador.demo2.,Suplantación familiar,Red digital ficticia Beta,Alto,230,pico_mensajeria_nocturna,88,Concentración geográfica,El Primo|CTA-DEMO-764|3732514689,SI";;;
"NEXO-147-00018,2025-07-25,05:34,Extorsión,Crítica,Web Demo,GAULA Meta,Recibido,Seguimiento,Luisa Mejía Martínez,DEMO-CC-83153162,3949145289,""Envigado, Sur"",Antioquia,Envigado,Sur,6.165931,-75.560248,""Reporte sintético de extorsión bajo modalidad cobro intimidatorio en Envigado. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3245906230,R-21,Daviplata / CTA-DEMO-958,43693945,Enlace sospechoso"; Correo amenazante; Número telefónico; Mensaje SMS,Dato ficticio para entrenamiento. Validar patrón: alias_reutilizado. Operador: analista.demo1.,Cobro intimidatorio,Red local ficticia Alfa,Alto,113,alias_reutilizado,100,Reincidencia por alias,R-21|CTA-DEMO-958|3245906230,SI
"NEXO-147-00019,2026-04-26,10:53,Desaparición asociada,Crítica,Línea 147,GAULA Meta,Recibido,Verificación inicial,Felipe Salazar Molina,DEMO-CC-97331892,3483282511,""Palmira, Zona Industrial"",Valle del Cauca,Palmira,Zona Industrial,3.577475,-76.286755,""Reporte sintético de desaparición asociada bajo modalidad retención simulada en Palmira. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3934977602,El Primo,Daviplata / CTA-DEMO-656,15828949,Comprobante de pago"; Audio de llamada; Enlace sospechoso,Dato ficticio para entrenamiento. Validar patrón: monto_bajo_repetitivo. Operador: operador.demo1.,Retención simulada,Red digital ficticia Beta,Crítico,204,monto_bajo_repetitivo,100,Reincidencia por alias,El Primo|CTA-DEMO-656|3934977602,SI;
"NEXO-147-00020,2025-11-01,22:06,Amenaza,Media,Presencial,GAULA Antioquia,Asignado a unidad,Recepción,Julián Molina Suárez,DEMO-CC-55443260,3407002117,""Puerto Gaitán, Norte"",Meta,Puerto Gaitán,Norte,4.283536,-72.062722,""Reporte sintético de amenaza bajo modalidad falso servicio en Puerto Gaitán. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3233132589,Alias-491,Giro nacional / CTA-DEMO-008,13432609,Correo amenazante"; Captura WhatsApp,Dato ficticio para entrenamiento. Validar patrón: pico_mensajeria_nocturna. Operador: analista.demo1.,Falso servicio,Sin determinar,Alto,72,pico_mensajeria_nocturna,71,Concentración geográfica,Alias-491|CTA-DEMO-008|3233132589,SI;;
"NEXO-147-00021,2026-03-22,23:40,Fraude con intimidación,Crítica,WhatsApp Institucional,GAULA Atlántico,Recibido,Recepción,Carolina Rodríguez Mejía,DEMO-CC-71058823,3068012091,""Magangué, Norte"",Bolívar,Magangué,Norte,9.235133,-74.728177,""Reporte sintético de fraude con intimidación bajo modalidad suplantación familiar en Magangué. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3353385192,Alias-726,Daviplata / CTA-DEMO-879,23088960,Enlace sospechoso,Dato ficticio para entrenamiento. Validar patrón: pico_mensajeria_nocturna. Operador: operador.demo1.,Suplantación familiar,Red digital ficticia Beta,Crítico,151,pico_mensajeria_nocturna,100,Incremento en horario nocturno,Alias-726|CTA-DEMO-879|3353385192,SI";;;
"NEXO-147-00022,2026-05-30,21:41,Extorsión,Alta,Línea 147,GAULA Bolívar,Recibido,Recepción,Juan Castro Acosta,DEMO-CC-54346820,3778100076,""Malambo, Occidente"",Atlántico,Malambo,Occidente,10.83653,-74.805371,""Reporte sintético de extorsión bajo modalidad amenaza por mensajería en Malambo. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3397949082,El Mensajero,Cripto billetera demo / CTA-DEMO-003,0,Captura WhatsApp"; Enlace sospechoso; Correo amenazante,Dato ficticio para entrenamiento. Validar patrón: pagos_billetera_digital. Operador: operador.demo2.,Amenaza por mensajería,Grupo oportunista ficticio,Alto,231,pagos_billetera_digital,88,Uso de cuenta repetida,El Mensajero|CTA-DEMO-003|3397949082,SI;
"NEXO-147-00023,2026-02-14,21:43,Secuestro,Media,Línea 147,GAULA Meta,En análisis,Verificación inicial,Julián Mejía Gómez,DEMO-CC-92897945,3174469246,""Bogotá, Norte"",Bogotá D.C.,Bogotá,Norte,4.693423,-74.04531,""Reporte sintético de secuestro bajo modalidad paquete retenido falso en Bogotá. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3714984789,Alias-630,Sin cuenta reportada,721748,Comprobante de pago,Dato ficticio para entrenamiento. Validar patrón: pico_mensajeria_nocturna. Operador: analista.demo2.,Paquete retenido falso,Red local ficticia Alfa,Bajo,211,pico_mensajeria_nocturna,53,Concentración geográfica,Alias-630|CTA-DEMO-968|3714984789,SI";;;
"NEXO-147-00024,2026-04-19,11:13,Extorsión,Crítica,Correo Institucional,GAULA Antioquia,En análisis,Seguimiento,Mateo Salazar Mejía,DEMO-CC-73783654,3335032919,""Bogotá, Norte"",Bogotá D.C.,Bogotá,Norte,4.726389,-74.06216,""Reporte sintético de extorsión bajo modalidad extorsión digital en Bogotá. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3397949082,Alias-338,Bancolombia cuenta ahorro / CTA-DEMO-224,32214637,Mensaje SMS"; Número telefónico; Captura WhatsApp; Audio de llamada,Dato ficticio para entrenamiento. Validar patrón: monto_bajo_repetitivo. Operador: analista.demo1.,Extorsión digital,Célula financiera ficticia,Alto,168,monto_bajo_repetitivo,100,Crecimiento semanal,Alias-338|CTA-DEMO-224|3397949082,SI
"NEXO-147-00025,2026-05-14,20:29,Extorsión,Alta,Línea 147,GAULA Bogotá,Recibido,Cierre,Valentina Salazar Herrera,DEMO-CC-16097009,3429408726,""Buenaventura, Centro"",Valle del Cauca,Buenaventura,Centro,3.899432,-77.001672,""Reporte sintético de extorsión bajo modalidad extorsión digital en Buenaventura. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3934977602,Alias-915,Bancolombia cuenta ahorro / CTA-DEMO-290,107213,Mensaje SMS"; Comprobante de pago; Correo amenazante,Dato ficticio para entrenamiento. Validar patrón: pico_mensajeria_nocturna. Operador: analista.demo1.,Extorsión digital,Sin determinar,Medio,130,pico_mensajeria_nocturna,80,Crecimiento semanal,Alias-915|CTA-DEMO-290|3934977602,SI;
"NEXO-147-00026,2025-08-11,23:20,Amenaza,Crítica,Línea 147,GAULA Antioquia,Escalado operativo,Análisis de inteligencia,Juan Rodríguez Moreno,DEMO-CC-94464894,3681208260,""Turbaco, Occidente"",Bolívar,Turbaco,Occidente,10.322499,-75.42418,""Reporte sintético de amenaza bajo modalidad retención simulada en Turbaco. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3352309889,Sombra,Giro nacional / CTA-DEMO-498,63132605,Comprobante de pago,Dato ficticio para entrenamiento. Validar patrón: pico_mensajeria_nocturna. Operador: analista.demo1.,Retención simulada,Red local ficticia Alfa,Crítico,127,pico_mensajeria_nocturna,100,Sin tendencia clara,Sombra|CTA-DEMO-498|3352309889,SI";;;
"NEXO-147-00027,2026-03-31,21:18,Falso servicio,Baja,Línea 147,GAULA Valle,En verificación,Seguimiento,Andrea Molina Rojas,DEMO-CC-32666629,3769442900,""Palmira, Plaza Principal"",Valle del Cauca,Palmira,Plaza Principal,3.57152,-76.269685,""Reporte sintético de falso servicio bajo modalidad paquete retenido falso en Palmira. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3927614975,Alias-616,Nequi / CTA-DEMO-196,0,Captura WhatsApp,Dato ficticio para entrenamiento. Validar patrón: pagos_billetera_digital. Operador: analista.demo1.,Paquete retenido falso,Actor desconocido,Medio,204,pagos_billetera_digital,46,Uso de cuenta repetida,Alias-616|CTA-DEMO-196|3927614975,SI";;;
"NEXO-147-00028,2026-02-20,09:51,Extorsión,Baja,Línea 147,GAULA Atlántico,En verificación,Coordinación operativa,Daniel Acosta Rojas,DEMO-CC-89922302,3685184370,""Medellín, Centro"",Antioquia,Medellín,Centro,6.206326,-75.57193,""Reporte sintético de extorsión bajo modalidad amenaza por mensajería en Medellín. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3397949082,Comando 17,Giro nacional / CTA-DEMO-018,0,Número telefónico"; Correo amenazante; Comprobante de pago,Dato ficticio para entrenamiento. Validar patrón: alias_reutilizado. Operador: director.demo.,Amenaza por mensajería,Red digital ficticia Beta,Medio,179,alias_reutilizado,51,Reincidencia por alias,Comando 17|CTA-DEMO-018|3397949082,SI;
"NEXO-147-00029,2025-09-02,10:05,Extorsión,Media,Web Demo,GAULA Valle,En verificación,Análisis de inteligencia,Carlos Acosta Torres,DEMO-CC-49050917,3552652341,""Magangué, Norte"",Bolívar,Magangué,Norte,9.242065,-74.731477,""Reporte sintético de extorsión bajo modalidad extorsión digital en Magangué. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3842137288,Omega,Cripto billetera demo / CTA-DEMO-637,3479023,Enlace sospechoso"; Captura WhatsApp,Dato ficticio para entrenamiento. Validar patrón: llamadas_recurrentes. Operador: operador.demo2.,Extorsión digital,Actor desconocido,Medio,158,llamadas_recurrentes,60,Crecimiento semanal,Omega|CTA-DEMO-637|3842137288,SI;;
"NEXO-147-00030,2025-06-04,20:08,Extorsión,Alta,Línea 147,GAULA Bogotá,Cerrado preventivo,Análisis de inteligencia,Carolina Ramírez Castro,DEMO-CC-20678872,3859865725,""Medellín, Zona Industrial"",Antioquia,Medellín,Zona Industrial,6.273616,-75.60542,""Reporte sintético de extorsión bajo modalidad extorsión digital en Medellín. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3116400444,R-21,Sin cuenta reportada,7073086,Audio de llamada"; Captura WhatsApp,Dato ficticio para entrenamiento. Validar patrón: pico_mensajeria_nocturna. Operador: operador.demo1.,Extorsión digital,Red digital ficticia Beta,Medio,143,pico_mensajeria_nocturna,77,Crecimiento semanal,R-21|CTA-DEMO-740|3116400444,SI;;
"NEXO-147-00031,2026-04-09,20:59,Secuestro,Media,Línea 147,GAULA Cundinamarca,Asignado a unidad,Análisis de inteligencia,Sebastián Herrera Moreno,DEMO-CC-80787495,3083203130,""Bogotá, Sur"",Bogotá D.C.,Bogotá,Sur,4.68945,-74.07027,""Reporte sintético de secuestro bajo modalidad suplantación familiar en Bogotá. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3798524069,El Mensajero,Cripto billetera demo / CTA-DEMO-397,482477,Comprobante de pago"; Número telefónico,Dato ficticio para entrenamiento. Validar patrón: pico_mensajeria_nocturna. Operador: analista.demo1.,Suplantación familiar,Grupo oportunista ficticio,Alto,79,pico_mensajeria_nocturna,67,Concentración geográfica,El Mensajero|CTA-DEMO-397|3798524069,SI;;
"NEXO-147-00032,2026-04-14,14:12,Falso servicio,Crítica,Remisión Fiscalía,GAULA Meta,Recibido,Seguimiento,Luisa Moreno Ortega,DEMO-CC-11440942,3263510852,""Medellín, Centro"",Antioquia,Medellín,Centro,6.21111,-75.549468,""Reporte sintético de falso servicio bajo modalidad suplantación familiar en Medellín. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3154799399,El Mensajero,Daviplata / CTA-DEMO-004,76664034,Correo amenazante,Dato ficticio para entrenamiento. Validar patrón: pagos_billetera_digital. Operador: analista.demo1.,Suplantación familiar,Sin determinar,Alto,46,pagos_billetera_digital,100,Uso de cuenta repetida,El Mensajero|CTA-DEMO-004|3154799399,SI";;;
"NEXO-147-00033,2026-05-23,22:03,Secuestro,Crítica,WhatsApp Institucional,GAULA Meta,Asignado a unidad,Recepción,Santiago Ortega Ortega,DEMO-CC-22655615,3378310773,""Chía, Zona Industrial"",Cundinamarca,Chía,Zona Industrial,4.881207,-74.078365,""Reporte sintético de secuestro bajo modalidad falso servicio en Chía. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3751103684,Alias-743,Daviplata / CTA-DEMO-007,4411209,Mensaje SMS"; Correo amenazante; Captura WhatsApp,Dato ficticio para entrenamiento. Validar patrón: pagos_billetera_digital. Operador: analista.demo2.,Falso servicio,Célula financiera ficticia,Bajo,217,pagos_billetera_digital,89,Uso de cuenta repetida,Alias-743|CTA-DEMO-007|3751103684,SI;
"NEXO-147-00034,2025-09-28,18:01,Extorsión,Crítica,WhatsApp Institucional,GAULA Valle,En análisis,Análisis de inteligencia,Julián Ramírez Mejía,DEMO-CC-65931598,3682763079,""Facatativá, Terminal"",Cundinamarca,Facatativá,Terminal,4.816607,-74.363458,""Reporte sintético de extorsión bajo modalidad cobro intimidatorio en Facatativá. Se registran comunicaciones intimidatorias, solicitud económica y datos asociados para análisis operativo demo."",3682154626,Comando 17,Cuenta corresponsal / CTA-DEMO-004,53739032,Captura WhatsApp"; Comprobante de pago,Dato ficticio para entrenamiento. Validar patrón: alias_reutilizado. Operador: analista.demo2.,Cobro intimidatorio,Sin determinar,Crítico,184,alias_reutilizado,100,Reincidencia por alias,Comando 17|CTA-DEMO-004|3682154626,SI;;
